dataset,mde,iters,solver,pose_mAA_10,median_pose_err,median_f_err,mean_mde_runtime,mean_runtime,mean_inliers
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_shift_ro,66.145322,1.455626,0.0,47.485747,14.080065,0.773359
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib,86.78755,0.487716,0.0,47.485747,117.755041,0.82295
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_shift,87.880213,0.322588,0.0,47.485747,110.666189,0.826289
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_ro,74.761713,0.843262,0.0,47.485747,12.079154,0.777692
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_shift_ro,65.971443,1.473182,0.0,47.485747,16.768653,0.773713
sintel,DepthPro-vitl,10,calib,85.259807,0.41466,0.0,120.215405,38.936837,0.785826
sintel,DepthPro-vitl,10,mdecalib,64.258063,2.543855,0.185125,120.215405,42.532188,0.687742
sintel,DepthPro-vitl,10,sf,78.0923,0.785358,0.182815,120.215405,45.373993,0.763419
sintel,DepthPro-vitl,10,calib_shift,81.23384,0.396505,0.0,120.215405,42.05656,0.771063
sintel,DepthPro-vitl,10,mdecalib_shift,61.788258,2.504599,0.185125,120.215405,49.724106,0.682192
sintel,DepthPro-vitl,10,sf_shift,61.910589,1.720109,0.371204,120.215405,48.882887,0.606433
sintel,DepthPro-vitl,10,calib_ro,75.681181,0.763383,0.0,120.215405,3.004675,0.777705
sintel,DepthPro-vitl,10,mdecalib_ro,61.232894,2.81362,0.185125,120.215405,3.154848,0.730331
sintel,DepthPro-vitl,10,sf_ro,66.601321,1.584485,0.480444,120.215405,4.58855,0.749478
sintel,DepthPro-vitl,10,calib_shift_ro,64.123457,1.677733,0.0,120.215405,6.687955,0.763223
sintel,DepthPro-vitl,10,mdecalib_shift_ro,53.943051,3.552931,0.185125,120.215405,8.911774,0.755348
sintel,DepthPro-vitl,10,sf_shift_ro,58.438895,2.613098,0.611419,120.215405,10.618834,0.674666
sintel,DepthPro-vitl,100,calib,87.910841,0.36827,0.0,120.215405,62.959199,0.81563
sintel,DepthPro-vitl,100,mdecalib,64.570638,2.508028,0.185125,120.215405,64.77765,0.721536
sintel,DepthPro-vitl,100,sf,82.054567,0.696241,0.164908,120.215405,67.776702,0.809421
sintel,DepthPro-vitl,100,calib_shift,84.890427,0.347311,0.0,120.215405,64.667006,0.810658
sintel,DepthPro-vitl,100,mdecalib_shift,63.187383,2.418116,0.185125,120.215405,77.346796,0.730837
sintel,DepthPro-vitl,100,sf_shift,72.951432,0.895447,0.229837,120.215405,78.709089,0.755737
sintel,DepthPro-vitl,100,calib_ro,75.78316,0.758016,0.0,120.215405,5.101179,0.781592
sintel,DepthPro-vitl,100,mdecalib_ro,61.346298,2.805811,0.185125,120.215405,5.442472,0.735269
sintel,DepthPro-vitl,100,sf_ro,69.101421,1.466474,0.463742,120.215405,7.719321,0.779073
sintel,DepthPro-vitl,100,calib_shift_ro,65.619424,1.503148,0.0,120.215405,9.725094,0.776945
sintel,DepthPro-vitl,100,mdecalib_shift_ro,55.536674,3.281998,0.185125,120.215405,13.255469,0.771577
sintel,DepthPro-vitl,100,sf_shift_ro,61.814106,2.259226,0.578804,120.215405,17.045567,0.765079
sintel,DepthPro-vitl,500,calib,88.369468,0.361692,0.0,120.215405,89.223618,0.822253
